index,dong,name_subway,Latitude,Longitude,MF,EF,TF,SF,y
167,영등포구,S_신길역,37.5176364,126.9140856,0.148254535,0.354321,1.28958,0.907212176046547,0.267641654
168,영등포구,S_신풍역,37.5001939,126.9128486,0.148254535,0.354321,-2.78519,0.5457729865956004,-0.493677711
169,영등포구,S_양평역,37.5242305,126.8953477,0.148254535,0.354321,0.637471,0.9046849245077364,0.110771601
170,영등포구,S_여의나루역,37.5213559,126.9249795,0.148254535,0.354321,1.04929,1.1014376622327382,0.19104484
171,영등포구,S_여의도역,37.5213559,126.9249795,0.148254535,0.354321,1.04929,1.1014376622327382,0.19104484
172,영등포구,S_영등포구청(2)역,37.5267009,126.8986365,0.148254535,0.354321,-0.00973731,0.907574560612617,-0.017971719
173,용산구,S_녹사평역,37.5345491,126.9899665,1.848138293,-0.621417,1.03772,0.7649170029397185,0.774565244
174,용산구,S_삼각지역,37.5516714,126.972922,1.848138293,-0.621417,1.51671,1.1586063681856094,0.753437809
175,용산구,S_서울역,37.5516714,126.972922,1.848138293,-0.621417,1.65123,1.1586063681856094,0.781089358
176,용산구,S_숙대입구역,37.5516714,126.972922,1.848138293,-0.621417,1.27271,1.1586063681856094,0.703281863
177,용산구,S_신용산역,37.5516714,126.972922,1.848138293,-0.621417,1.51671,1.1586063681856094,0.753437809
178,용산구,S_이촌역,37.5231023,126.9844401,1.848138293,-0.621417,0.524501,0.712038690002872,0.651297117
179,용산구,S_이태원역,37.5340548,126.9950167,1.848138293,-0.621417,-0.554595,0.7127396650947703,0.450090221
180,용산구,S_한강진역,37.5340548,126.9950167,1.848138293,-0.621417,1.25026,0.7127396650947703,0.821091081
181,용산구,S_효창공원앞역,37.5383394,126.9654883,1.848138293,-0.621417,0.992963,0.8447452549421584,0.682889363
182,은평구,S_구산역,37.6190884,126.9235023,-0.75968429,-1.31892,0.666741,-1.2232471065057458,-0.475632754
183,은평구,S_구파발역,37.6354486,126.9231387,-0.75968429,-1.31892,1.73409,-2.079456071909711,-0.178740214
184,은평구,S_녹번역,37.6123992,126.9292744,-0.75968429,-1.31892,-0.330118,-0.904557153207576,-0.637176879
185,은평구,S_독바위역,37.6149092,126.9304818,-0.75968429,-1.31892,-1.52215,-0.9855484453048016,-0.885172127
186,은평구,S_디지털미디어시티역,37.5836106,126.8932739,-0.75968429,-1.31892,1.05585,-0.6780145429380451,-0.109937251
187,은평구,S_불광(3)역,37.6123992,126.9292744,-0.75968429,-1.31892,1.7633,-0.904557153207576,-0.206859829
188,은평구,S_새절역,37.5869005,126.9097744,-0.75968429,-1.31892,-0.191827,-0.40464278037756407,-0.51698401
189,은평구,S_역촌역,37.6114461,126.9153066,-0.75968429,-1.31892,-0.340429,-1.0901619841853112,-0.599726601
190,은평구,S_연신내(3)역,37.6123992,126.9292744,-0.75968429,-1.31892,0.996471,-0.904557153207576,-0.364487017
191,은평구,S_응암역,37.5869005,126.9097744,-0.75968429,-1.31892,-0.191827,-0.40464278037756407,-0.51698401
192,은평구,S_증산역,37.5869005,126.9097744,-0.75968429,-1.31892,1.06728,-0.40464278037756407,-0.258165557
193,종로구,S_경복궁역,37.5748378,126.9680507,2.543086911,1.67649,1.55979,0.9903416020624944,1.635436642
194,종로구,S_광화문역,37.5722304,126.9771833,2.543086911,1.67649,1.89133,1.0827713657623919,1.718355435
195,종로구,S_동대문(4)역,37.574971,126.9981589,2.543086911,1.67649,1.03443,1.0663369964201752,1.567492664
196,종로구,S_동묘앞(1)역,37.5732808,127.0166486,2.543086911,1.67649,0.807308,1.2564767627520264,1.454290011
197,종로구,S_동묘앞(6)역,37.5762104,127.0152403,2.543086911,1.67649,0.801309,1.168636278508025,1.445618941
198,종로구,S_서대문역,37.5705366,126.9628499,2.543086911,1.67649,1.5494,0.8759985144035924,1.728841531
199,종로구,S_안국역,37.574971,126.9981589,2.543086911,1.67649,1.34944,1.0663369964201752,1.632245224
200,종로구,S_종각역,37.5719416,127.0043274,3.142267717,2.74387,1.35686,1.2431889205303577,2.116310389
201,종로구,S_종로3가(3)역,37.572069,126.9915237,2.543086911,1.67649,1.35161,1.1544559445510552,1.609044359
